ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
1;43;7;G1A1N19B;01;1091;2;1
1;65;5;G1A1N41B;01;;1;1
1;54;5;G1A1N41B;02;;2;1
3;67;7;G1A1N6TB;01;;1;
3;47;7;G1A1N9LB;01;;2;
1;47;7;G1A1N9LB;02;1100;1;1
3;19;7;G1A1N9LB;03;;1;
1;39;5;G1A1NCDB;01;1250;1;1
3;39;4;G1A1NCDB;02;;2;
3;72;7;G1A1NCDB;04;;2;
2;54;4;G1A1NF5B;01;;2;
1;56;7;G1A1NF5B;02;1300;1;1
1;55;7;G1A1NHXB;01;1600;1;1
1;31;1;G1A1NKPB;01;990;2;2
1;36;5;G1A1NKPB;02;1500;1;1
3;60;7;G1A1NNHB;01;;2;
1;58;5;G1A1NNHB;02;;1;1
1;57;5;G1A1NQ9B;01;;1;1
1;55;7;G1A1NQ9B;02;;2;1
3;40;5;G1A1NT1B;01;;1;
1;38;5;G1A1NT1B;02;820;2;1
3;16;6;G1A1NT1B;03;;2;
3;67;5;G1A1NVTB;01;;1;
3;60;1;G1A1NVTB;02;;2;
3;65;5;G1A1NYLB;01;;1;
3;64;7;G1A1NYLB;02;;2;
1;44;5;G1A1STLB;01;;1;1
1;44;5;G1A1STLB;02;941;2;2
3;74;7;G1A1SWDB;01;;1;
3;75;4;G1A1SWDB;02;;2;
1;46;5;G1A1SZ5B;01;1200;1;1
3;63;5;G1B1N1DB;01;;1;
1;58;4;G1B1N1DB;02;;2;1
3;79;5;G1B1N45B;01;;1;
1;43;5;G1B1N6XB;01;2000;1;1
1;37;3;G1B1N6XB;02;2500;2;1
1;39;5;G1B1N9PB;01;1300;2;2
1;38;5;G1B1N9PB;02;1800;1;1
3;65;7;G1B1NCHB;02;;2;
1;51;5;G1B1NI1B;01;900;1;2
1;42;5;G1B1NI1B;02;1030;2;2
1;46;5;G1B1S1XB;01;;1;1
3;73;5;G1B1S7HB;01;;1;
3;68;5;G1B1S7HB;02;;2;
3;76;6;G1B1SA9B;01;;2;
1;55;6;G1B1SD1B;01;1900;2;1
3;16;6;G1B1SD1B;02;;2;
1;36;4;G1B1SLDB;01;1790;1;1
1;36;7;G1B1SLDB;02;634;2;2
3;76;5;G1B1SO5B;01;;1;
3;99;7;G1B1SO5B;02;;2;
3;81;7;G1B1SQXB;01;;2;
3;60;5;G1B1SQXB;02;;1;
1;56;5;G1B1SQXB;03;;1;1
3;63;5;G1B1SQXB;04;;2;
3;60;5;G1B1STPB;01;;1;
2;55;7;G1B1STPB;02;;2;
1;28;6;G1B1STPB;03;1700;1;1
2;49;7;G1B1SZ9B;01;;1;
1;55;1;G1C1S21B;01;;1;1
3;61;3;G1C1S21B;02;;2;
1;46;1;G1C1S4TB;01;4750;1;1
1;59;7;G1C1S4TB;02;400;2;2
1;26;1;G1C1S4TB;03;2000;1;1
3;20;7;G1C1S4TB;04;;1;
1;45;6;G1C1S7LB;01;200;1;1
1;43;4;G1C1S7LB;02;900;2;2
3;85;7;G1C1SADB;01;;1;
3;85;7;G1C1SADB;02;;2;
3;85;7;G1C1SD5B;01;;1;
3;78;7;G1C1SD5B;02;;2;
1;42;5;G1C1SFXB;01;1800;1;1
1;35;4;G1C1SFXB;02;;2;1
1;62;5;G1C1SIPB;01;500;1;2
3;60;7;G1C1SIPB;02;;2;
3;88;7;G1C1SIPB;03;;1;
1;52;4;G1C1X85B;01;1600;2;2
2;56;5;G1C1X85B;02;;1;
3;78;7;G1C1XAXB;01;;1;
3;78;7;G1C1XAXB;02;;2;
2;44;3;G1C1XDPB;01;;2;
1;45;3;G1C1XDPB;02;;1;1
1;20;4;G1C1XDPB;03;;2;1
3;16;6;G1C1XDPB;04;;1;
1;37;3;G1C1XJ9B;01;1130;2;2
1;38;5;G1C1XJ9B;02;1500;1;1
1;25;4;G1C1XM1B;01;;2;3
1;30;7;G1C1XM1B;02;1300;1;1
3;85;7;G1C1XOTB;01;;2;
3;35;7;G1C1XRLB;01;;2;
1;40;7;G1C1XRLB;02;1300;1;1
3;76;7;G1C1XUDB;01;;1;
3;76;7;G1C1XUDB;02;;2;
1;22;6;G1C1XZXB;01;1433;2;1
1;24;7;G1C1XZXB;02;1191;1;1
3;77;7;G1D12PHC;01;;2;
3;80;7;G1D12PIC;01;;1;
3;75;5;G1D12PIC;02;;2;
3;81;7;G1D12PJC;01;;1;
3;77;7;G1D12PJC;02;;2;
1;24;3;G1D12PKC;01;1700;2;1
3;77;7;G1D12PMC;01;;2;
1;58;5;G1D12PNC;01;1550;2;1
1;32;3;G1D12PPC;01;1850;1;1
1;41;5;G1D12PQC;01;1650;1;1
1;37;3;G1D12PRC;01;2300;1;1
2;40;1;G1D12S9C;01;;1;
1;36;1;G1D12S9C;02;0;2;2
2;27;5;G1D12SBC;01;;2;
1;51;5;G1D12SCC;01;2300;1;1
1;32;5;G1D12SDC;01;1400;1;1
1;28;3;G1D12SEC;01;1300;1;1
1;23;4;G1D12SEC;02;996;2;1
1;59;7;G1D12SFC;01;1539;2;1
1;29;3;G1D12SGC;01;1100;2;1
3;79;5;G1D12SHC;01;;2;
3;64;5;G1D12SIC;01;;1;
3;66;5;G1D12SIC;02;;2;
1;37;1;G1D12V1C;01;2300;1;1
1;31;5;G1D12V1C;02;1100;2;1
3;68;4;G1D12V2C;01;;2;
1;50;5;G1D1X2PB;01;1700;2;1
1;58;7;G1D1X5HB;01;950;2;1
1;53;5;G1D1X5HB;02;1200;1;1
3;30;6;G1D1X89B;01;;2;
1;36;6;G1D1X89B;02;1300;1;1
1;47;7;G1D1XRPB;01;1100;2;1
1;28;5;G1D1XRPB;02;1500;1;1
1;36;4;G1D1XUHB;01;1100;2;1
1;26;5;G1D1XX9B;01;1000;2;2
1;29;5;G1D1XX9B;02;1200;1;1
3;24;5;G1E1X01B;01;;2;
3;24;5;G1E1X01B;02;;1;
1;30;3;G1E1X5LB;01;1350;1;1
1;31;3;G1E1X5LB;02;;2;1
1;31;7;G1E1XB5B;01;300;2;2
1;27;5;G1E1XB5B;02;840;1;1
2;39;3;G1E1XDXB;01;;2;
1;40;4;G1E1XDXB;02;1600;1;1
1;23;5;G1E1XGPB;01;;1;1
1;22;3;G1E1XGPB;02;1200;2;1
1;21;6;G1E1XJHB;01;1200;2;2
1;25;4;G1E1XJHB;02;1500;1;1
1;26;4;G1E1XM9B;01;1350;1;1
1;26;1;G1E1XM9B;02;1200;2;1
1;22;5;G1E1XP1B;01;1200;2;2
1;27;4;G1E1XP1B;02;1500;1;1
3;59;7;G1E1XRTB;01;;2;
3;60;7;G1E1XXDB;01;;2;
3;65;5;G1E1XXDB;02;;1;
1;46;5;G1F176TC;01;2000;1;1
1;30;6;G1F176TC;02;1100;2;2
3;63;3;G1F179LC;01;;1;
3;60;6;G1F179LC;02;;2;
3;40;3;G1F17CDC;01;;2;
1;44;3;G1F17CDC;02;2929;1;1
3;16;6;G1F17CDC;03;;2;
1;47;3;G1F17F5C;01;2300;1;1
3;43;5;G1F17F5C;02;;2;
3;19;6;G1F17F5C;03;;1;
3;65;7;G1F17HXC;01;;1;
3;72;7;G1F17HXC;02;;2;
3;80;7;G1F17KPC;01;;1;
3;80;7;G1F17KPC;02;;2;
3;76;6;G1F17NHC;01;;2;
1;51;7;G1F17NHC;02;736;2;1
